399.978,-116.52
399.981,-115.28
399.983,-123.59
399.986,-108.85
399.988,-108.56
399.991,-116.0
399.993,-130.48000000000002
399.996,-122.51
399.998,-120.96
400.001,-115.56
400.003,-115.23
400.006,-123.27
400.008,-129.81
400.011,-146.06
400.013,-119.76
400.016,-115.02
400.018,-116.8
400.021,-129.07
400.023,-115.34
400.026,-110.1
400.028,-111.52
400.031,-113.82
400.033,-115.44
400.036,-140.87
400.038,-116.75
400.041,-119.4
400.043,-115.87
400.046,-111.31
400.048,-113.02
400.051,-121.55
400.053,-113.42
400.056,-111.12
400.058,-116.82
400.061,-116.94
400.063,-114.65
400.066,-118.15
400.068,-111.97
400.071,-115.5
400.073,-118.76
400.076,-114.16
400.078,-113.07
400.081,-113.5
400.083,-125.74
400.086,-116.32
400.088,-114.75
400.091,-113.56
400.093,-109.43
400.096,-110.22
400.098,-115.07
400.101,-124.11
400.103,-125.55
400.106,-117.99
400.108,-118.06
400.111,-118.76
400.113,-112.66
400.116,-117.53
400.118,-113.52
400.121,-110.15
400.123,-113.72
400.126,-112.38
400.128,-107.73
400.131,-111.73
400.133,-126.41
400.136,-114.44
400.138,-113.22
400.141,-115.03
400.143,-128.73000000000002
400.146,-120.07
400.148,-115.52
400.151,-122.15
400.153,-124.45
400.156,-129.38
400.158,-125.02
400.161,-118.97
400.163,-112.05
400.166,-111.9
400.168,-112.23
400.171,-117.21
400.173,-123.59
400.176,-121.07
400.178,-123.17
400.181,-113.09
400.183,-110.88
400.186,-110.13
400.188,-109.92
400.191,-111.87
400.193,-128.04000000000002
400.196,-115.96
400.198,-110.97
400.201,-110.52
400.203,-119.52
400.206,-121.11
400.208,-121.17
400.211,-128.6
400.213,-120.17
400.216,-113.96
400.218,-110.68
400.221,-117.66
400.223,-112.67
400.226,-112.41
400.228,-113.2
400.231,-117.64
400.233,-112.18
400.236,-112.72
400.238,-114.42
400.241,-120.12
400.243,-117.6
400.246,-117.4
400.248,-115.67
400.251,-111.71
400.253,-111.59
400.256,-113.91
400.258,-113.63
400.261,-107.15
400.263,-110.56
400.266,-125.58
400.268,-114.17
400.271,-123.67
400.273,-116.36
400.276,-113.2
400.278,-113.5
400.281,-118.93
400.283,-122.94
400.286,-114.31
400.288,-109.25
400.291,-115.57
400.293,-126.3
400.296,-129.92000000000002
